name,salary_from,salary_to,salary_currency,area_name,published_at
Инженер-системный программист,24590,29400,RUR,Астрахань,2022-12-19T07:10:08+0300
Оператор сверлильно-присадочного станка (присадчик в мебельный цех),60000,,RUR,Сургут,2022-12-19T07:23:07+0300
Механик,120000,140000,RUR,Красноярск,2022-12-19T07:07:02+0300
Токарь,49000,,RUR,Тула,2022-12-19T07:48:45+0300
Ведущий разработчик 1С (гибридный график работы),140000,175000,RUR,Екатеринбург,2022-12-19T07:02:46+0300
Руководитель проектов (производитель электрических шкафов),60000,,RUR,Екатеринбург,2022-12-19T07:35:37+0300
Системный администратор (г. Шарыпово),30000,50000,RUR,Красноярск,2022-12-19T07:00:15+0300
Механик,145000,170000,KZT,Усть-Каменогорск,2022-12-19T07:19:21+0300
Специалист информационной системы в сфере строительного контроля,35000,,RUR,Екатеринбург,2022-12-19T07:52:07+0300
Специалист информационной системы в сфере строительного контроля,30000,40000,RUR,Верхняя Пышма,2022-12-19T07:52:08+0300
Начальник эксплуатации транспорта,,87000,RUR,Москва,2022-12-19T08:56:23+0300
Куратор объекта (консультации покупателей),70000,,RUR,Санкт-Петербург,2022-12-19T08:25:57+0300
Графический дизайнер,30000,35000,RUR,Уфа,2022-12-19T08:18:25+0300
Стажер-разработчик,30000,,RUR,Нижний Новгород,2022-12-19T08:49:03+0300
Инженер службы технической поддержки,86500,95150,RUR,Москва,2022-12-19T08:19:51+0300
Оператор Входящей линии,20000,40000,RUR,Ульяновск,2022-12-19T08:38:27+0300
Менеджер проектов,45000,,RUR,Санкт-Петербург,2022-12-19T08:31:49+0300
"VUE JS, Frontend разработчик",45000,130000,RUR,Волгоград,2022-12-19T08:13:12+0300
Линейный механик,65000,,RUR,Саратов,2022-12-19T08:54:55+0300
HTML-верстальщик/WEB-Дизайнер (Middle),45000,,RUR,Пермь,2022-12-19T08:54:29+0300
Монтажник слаботочных систем,100000,,RUR,Самара,2022-12-19T08:13:12+0300
Дизайнер - верстальщик в издательство,250000,450000,KZT,Алматы,2022-12-19T08:35:01+0300
Регулировщик радиоэлектронной аппаратуры и приборов,50000,160000,RUR,Красноярск,2022-12-19T08:46:17+0300
Математик-программист,100000,,RUR,Москва,2022-12-19T08:51:46+0300
Бизнес-аналитик,150000,,RUR,Казань,2022-12-19T08:33:09+0300
PHP-разработчик Laravel,500000,,KZT,Павлодар,2022-12-19T08:29:52+0300
Токарь-универсал,64000,70000,RUR,Новосибирск,2022-12-19T08:40:00+0300
"Оператор станков с ЧПУ (лазер, плазма)",50000,,RUR,Нижний Новгород,2022-12-19T08:34:12+0300
Бизнес-аналитик,40000,,RUR,Нижний Новгород,2022-12-19T08:49:03+0300
Графический дизайнер (удаленно),35000,,RUR,Анапа,2022-12-19T08:27:33+0300
Системный администратор,150000,150000,KZT,Астана,2022-12-19T08:28:07+0300
Инженер по ремонту оргтехники,50000,,RUR,Пермь,2022-12-19T08:13:12+0300
Программист 1С-Bitrix,,1000,RUR,Москва,2022-12-19T08:12:16+0300
Техник по обслуживанию пивного оборудования,40000,,RUR,Пермь,2022-12-19T08:32:06+0300
Руководитель службы эксплуатации ЦОД,180000,,RUR,Братск,2022-12-19T08:07:49+0300
Наладчик станков с ПУ фрезерного оборудования,65000,,RUR,Краснодар,2022-12-19T08:47:13+0300
"Сеньор программист 1С БП, ЗУП в международную компанию",280000,,RUR,Москва,2022-12-19T08:22:46+0300
Сервисный инженер по электродвигателям,50000,,RUR,Барнаул,2022-12-19T08:13:01+0300
Математик-программист,100000,,RUR,Санкт-Петербург,2022-12-19T08:51:46+0300
Оператор Входящей линии,20000,40000,RUR,Барыш,2022-12-19T08:38:41+0300
Токарь-расточник,134000,,RUR,Челябинск,2022-12-19T08:37:38+0300
Бизнес-аналитик,,70000,RUR,Чебоксары,2022-12-19T08:10:56+0300
Инженер-программист (микроконтроллеры),90000,,RUR,Челябинск,2022-12-19T08:09:41+0300
Токарь-расточник,134000,,RUR,Екатеринбург,2022-12-19T08:42:22+0300
Веб-разработчик (офис),60000,,RUR,Уфа,2022-12-19T08:39:09+0300
Backend разработчик (аккредитованная IT-компания),100000,,RUR,Чебоксары,2022-12-19T08:10:52+0300
Системный администратор (торговая сеть),300000,,KZT,Караганда,2022-12-19T08:10:11+0300
Программист,25000,,RUR,Горно-Алтайск,2022-12-19T08:12:54+0300
Разработчик C#,80000,,RUR,Москва,2022-12-19T08:44:31+0300
Токарь,120000,,RUR,Брянск,2022-12-19T08:54:26+0300
"Ведущий специалист по технической поддержке (Воронеж, Тула, Рязань, Липецк)",55000,75000,RUR,Липецк,2022-12-19T08:18:16+0300
Frontend-разработчик Vue,70000,,RUR,Томск,2022-12-19T08:05:06+0300
Специалист 1С,30000,45000,RUR,Тобольск,2022-12-19T08:36:53+0300
Оператор станков с программным управлением,65000,,RUR,Старый Оскол,2022-12-19T08:59:40+0300
Java Developer (Back-End разработчик),90000,,RUR,Череповец,2022-12-19T08:49:37+0300
Механик по транспорту,50000,60000,RUR,Уфа,2022-12-19T08:30:27+0300
Менеджер проектов,10000000,,UZS,Ташкент,2022-12-19T08:13:02+0300
Копирайтер на YouTube канал (Техно-познавательный контент),50000,60000,RUR,Новосибирск,2022-12-19T08:50:10+0300
Консультант письменной поддержки в Медиасервисы,13000,33800,RUR,Екатеринбург,2022-12-19T08:47:31+0300
Оператор станков с программным управлением 4-6 разряд,80000,120000,RUR,Санкт-Петербург,2022-12-19T08:52:48+0300
Системный администратор,65000,108000,RUR,Санкт-Петербург,2022-12-19T08:41:53+0300
Junior/Middle Unity Developer,350,800,USD,Минск,2022-12-19T08:57:01+0300
Инженер-программист (разработка кросс-платформенных приложений),60000,,RUR,Красноярск,2022-12-19T08:46:16+0300
Математик-программист,100000,,RUR,Пермь,2022-12-19T08:51:46+0300
Инженер по АСУП,45000,,RUR,Чебоксары,2022-12-19T08:20:46+0300
Инженер по обслуживанию,50000,,RUR,Нижний Новгород,2022-12-19T08:09:19+0300
Системный аналитик,,230000,RUR,Москва,2022-12-19T08:19:35+0300
Оператор пульта управления,43000,120000,RUR,Петропавловск-Камчатский,2022-12-19T08:26:41+0300
Специалист по благоустройству территорий,50000,50000,RUR,Воронеж,2022-12-19T08:41:30+0300
